Product ID,Category,Product Name,Description,Price
P001,Men's Fashion,Men's Classic T-Shirt,"A timeless cotton t-shirt for everyday wear.",20.0
P002,Men's Fashion,Men's Slim-Fit Jeans,"Modern slim-fit jeans in dark wash denim.",60.0
P003,Men's Fashion,Men's Leather Belt,"A classic leather belt to complete any outfit.",35.0
P004,Women's Fashion,Women's Floral Maxi Dress,"An elegant floral maxi dress for special occasions.",80.0
P005,Women's Fashion,Women's Skinny Jeans,"Comfortable and stylish skinny jeans.",55.0
P006,Women's Fashion,Women's Crossbody Bag,"A chic and practical crossbody bag for essentials.",45.0
P007,Men's Fashion,Men's Casual Shirt,"A versatile and comfortable casual shirt.",40.0
P008,Women's Fashion,Women's Knit Sweater,"A cozy knit sweater for chilly days.",65.0
P009,Men's Fashion,Men's Chino Shorts,"Stylish and comfortable chino shorts for warm weather.",30.0
P010,Women's Fashion,Women's Ankle Boots,"Fashionable ankle boots to elevate your look.",75.0
P011,Men's Fashion,Men's Formal Trousers,"Classic formal trousers for a sophisticated look.",70.0
P012,Women's Fashion,Women's Silk Scarf,"A luxurious silk scarf with a vibrant print.",25.0
P013,Men's Fashion,Men's Running Shoes,"Lightweight and supportive running shoes for athletes.",90.0
P014,Women's Fashion,Women's Sunglasses,"Stylish sunglasses to protect your eyes from the sun.",30.0
P015,Men's Fashion,Men's Bomber Jacket,"A trendy bomber jacket for a cool and casual look.",85.0
P016,Women's Fashion,Women's Denim Jacket,"A classic denim jacket that never goes out of style.",70.0
P017,Men's Fashion,Men's Dress Shoes,"Elegant dress shoes for formal occasions.",95.0
P018,Women's Fashion,Women's Pencil Skirt,"A sleek and stylish pencil skirt for a professional look.",50.0
P019,Men's Fashion,Men's Graphic T-Shirt,"A trendy graphic t-shirt to express your style.",25.0
P020,Women's Fashion,Women's Wide-Leg Pants,"Fashionable wide-leg pants for a chic and modern look.",60.0
P021,Men's Fashion,Men's Hoodie,"A comfortable and stylish hoodie for a relaxed look.",50.0
P022,Women's Fashion,Women's Statement Necklace,"A bold statement necklace to elevate any outfit.",40.0
P023,Men's Fashion,Men's Cargo Pants,"Functional and stylish cargo pants with multiple pockets.",55.0
P024,Women's Fashion,Women's Sun Hat,"A wide-brimmed sun hat for sun protection and style.",20.0
P025,Men's Fashion,Men's Polo Shirt,"A classic polo shirt for a smart-casual look.",35.0
P026,Women's Fashion,Women's Summer Dress,"A light and breezy summer dress for warm days.",45.0
P027,Men's Fashion,Men's Beanie,"A cozy beanie to keep you warm in cold weather.",15.0
P028,Women's Fashion,Women's Leather Tote Bag,"A spacious and stylish leather tote bag for everyday use.",90.0
P029,Men's Fashion,Men's Swim Trunks,"Comfortable and quick-drying swim trunks for the beach or pool.",25.0
P030,Women's Fashion,Women's Platform Sneakers,"Trendy platform sneakers to add height and style to your look.",65.0
